 ,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-1,complete,1,124,11,11,gosdt,None,None,0.02,300,leviathan,15,3,99,11,11,0.1160385241,5,7,13,100.0,52.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.02,300,leviathan,15,4,100,11,11,0.0706413039,4,5,9,99.0,29.16666667,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.01,300,leviathan,15,0,99,11,11,0.16602324970000001,6,7,13,100.0,68.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.01,300,leviathan,15,1,99,11,11,0.1598337409,5,7,13,100.0,36.0,[ $a5_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.01,300,leviathan,15,2,99,11,11,0.1688410873,6,8,15,100.0,100.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.01,300,leviathan,15,3,99,11,11,0.1514454186,5,7,13,100.0,52.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.01,300,leviathan,15,4,100,11,11,0.1232756833,5,6,11,100.0,45.83333333,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a1_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.009,300,leviathan,15,0,99,11,11,0.156881439,6,7,13,100.0,68.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.009,300,leviathan,15,1,99,11,11,0.16635783810000002,5,7,13,100.0,36.0,[ $a5_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.009,300,leviathan,15,2,99,11,11,0.1651516962,6,8,15,100.0,100.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
